citation_key,method_or_study,primary_tier,D1,D2,D3,D4,D5,rater,note
muhammad2019efficient,Muhammad et al.,2,author_verification_required,author_verification_required,author_verification_required,author_verification_required,author_verification_required,consensus,Insert L/S/H from the original independent rating files. Do not invent ratings.
ye2019anopcn,AnoPCN,1,author_verification_required,author_verification_required,author_verification_required,author_verification_required,author_verification_required,consensus,Insert L/S/H from the original independent rating files. Do not invent ratings.
zhong2019graph,GCN-Anomaly,1,author_verification_required,author_verification_required,author_verification_required,author_verification_required,author_verification_required,consensus,Insert L/S/H from the original independent rating files. Do not invent ratings.
doshi2022adoc,ADOC,3,author_verification_required,author_verification_required,author_verification_required,author_verification_required,author_verification_required,consensus,Insert L/S/H from the original independent rating files. Do not invent ratings.
lee2019bman,BMAN,1,author_verification_required,author_verification_required,author_verification_required,author_verification_required,author_verification_required,consensus,Insert L/S/H from the original independent rating files. Do not invent ratings.
park2020learning,MNAD,1,author_verification_required,author_verification_required,author_verification_required,author_verification_required,author_verification_required,consensus,Insert L/S/H from the original independent rating files. Do not invent ratings.
wu2020not,Wu et al. (XD-Violence),1,author_verification_required,author_verification_required,author_verification_required,author_verification_required,author_verification_required,consensus,Insert L/S/H from the original independent rating files. Do not invent ratings.
feng2021ct,CT-D2GAN,1,author_verification_required,author_verification_required,author_verification_required,author_verification_required,author_verification_required,consensus,Insert L/S/H from the original independent rating files. Do not invent ratings.
feng2021mist,MIST,1,author_verification_required,author_verification_required,author_verification_required,author_verification_required,author_verification_required,consensus,Insert L/S/H from the original independent rating files. Do not invent ratings.
georgescu2021anomaly,Georgescu et al.,1,author_verification_required,author_verification_required,author_verification_required,author_verification_required,author_verification_required,consensus,Insert L/S/H from the original independent rating files. Do not invent ratings.
liu2021hybrid,Hybrid Flow,1,author_verification_required,author_verification_required,author_verification_required,author_verification_required,author_verification_required,consensus,Insert L/S/H from the original independent rating files. Do not invent ratings.
tian2021weakly,RTFM,1,author_verification_required,author_verification_required,author_verification_required,author_verification_required,author_verification_required,consensus,Insert L/S/H from the original independent rating files. Do not invent ratings.
wu2021causal,Wu & Liu,1,author_verification_required,author_verification_required,author_verification_required,author_verification_required,author_verification_required,consensus,Insert L/S/H from the original independent rating files. Do not invent ratings.
chen2022comprehensive,CR-BPN,1,author_verification_required,author_verification_required,author_verification_required,author_verification_required,author_verification_required,consensus,Insert L/S/H from the original independent rating files. Do not invent ratings.
chen2022fire,Huang / Chen et al.,2,author_verification_required,author_verification_required,author_verification_required,author_verification_required,author_verification_required,consensus,Insert L/S/H from the original independent rating files. Do not invent ratings.
guan2022improved,Guan et al.,2,author_verification_required,author_verification_required,author_verification_required,author_verification_required,author_verification_required,consensus,Insert L/S/H from the original independent rating files. Do not invent ratings.
wang2022video_jigsaw,Jigsaw,1,author_verification_required,author_verification_required,author_verification_required,author_verification_required,author_verification_required,consensus,Insert L/S/H from the original independent rating files. Do not invent ratings.
barbalau2023ssmtl,SSMTL++v2,1,author_verification_required,author_verification_required,author_verification_required,author_verification_required,author_verification_required,consensus,Insert L/S/H from the original independent rating files. Do not invent ratings.
chen2023mgfn,MGFN,1,author_verification_required,author_verification_required,author_verification_required,author_verification_required,author_verification_required,consensus,Insert L/S/H from the original independent rating files. Do not invent ratings.
chen2024tevad,TEVAD,1,author_verification_required,author_verification_required,author_verification_required,author_verification_required,author_verification_required,consensus,Insert L/S/H from the original independent rating files. Do not invent ratings.
cho2023look,Cho et al.,1,author_verification_required,author_verification_required,author_verification_required,author_verification_required,author_verification_required,consensus,Insert L/S/H from the original independent rating files. Do not invent ratings.
hirschorn2023normalizing,STG-NF,1,author_verification_required,author_verification_required,author_verification_required,author_verification_required,author_verification_required,consensus,Insert L/S/H from the original independent rating files. Do not invent ratings.
mantini2023feature_survey,Mantini and Shah (feature survey),3,author_verification_required,author_verification_required,author_verification_required,author_verification_required,author_verification_required,consensus,Insert L/S/H from the original independent rating files. Do not invent ratings.
niu2023improved,Niu et al.,2,author_verification_required,author_verification_required,author_verification_required,author_verification_required,author_verification_required,consensus,Insert L/S/H from the original independent rating files. Do not invent ratings.
sun2023hierarchical,HSC,1,author_verification_required,author_verification_required,author_verification_required,author_verification_required,author_verification_required,consensus,Insert L/S/H from the original independent rating files. Do not invent ratings.
yan2023feature,FPDM,1,author_verification_required,author_verification_required,author_verification_required,author_verification_required,author_verification_required,consensus,Insert L/S/H from the original independent rating files. Do not invent ratings.
zhou2023dmu,UR-DMU (RGB+audio),1,author_verification_required,author_verification_required,author_verification_required,author_verification_required,author_verification_required,consensus,Insert L/S/H from the original independent rating files. Do not invent ratings.
gao2024twostage,Gao et al.,2,author_verification_required,author_verification_required,author_verification_required,author_verification_required,author_verification_required,consensus,Insert L/S/H from the original independent rating files. Do not invent ratings.
park2024wildfire,Park and Lee,2,author_verification_required,author_verification_required,author_verification_required,author_verification_required,author_verification_required,consensus,Insert L/S/H from the original independent rating files. Do not invent ratings.
tang2024hawk,HAWK,1,author_verification_required,author_verification_required,author_verification_required,author_verification_required,author_verification_required,consensus,Insert L/S/H from the original independent rating files. Do not invent ratings.
wang2024stenet,STENet,1,author_verification_required,author_verification_required,author_verification_required,author_verification_required,author_verification_required,consensus,Insert L/S/H from the original independent rating files. Do not invent ratings.
wu2022self,SGTTD,1,author_verification_required,author_verification_required,author_verification_required,author_verification_required,author_verification_required,consensus,Insert L/S/H from the original independent rating files. Do not invent ratings.
wu2024vadclip,VadCLIP,1,author_verification_required,author_verification_required,author_verification_required,author_verification_required,author_verification_required,consensus,Insert L/S/H from the original independent rating files. Do not invent ratings.
yang2024follow,Follow the Rules,1,author_verification_required,author_verification_required,author_verification_required,author_verification_required,author_verification_required,consensus,Insert L/S/H from the original independent rating files. Do not invent ratings.
zanella2024harnessing,LAVAD,1,author_verification_required,author_verification_required,author_verification_required,author_verification_required,author_verification_required,consensus,Insert L/S/H from the original independent rating files. Do not invent ratings.
zhang2024pel4vad,PEL4VAD,1,author_verification_required,author_verification_required,author_verification_required,author_verification_required,author_verification_required,consensus,Insert L/S/H from the original independent rating files. Do not invent ratings.
ahn2026anyanomaly,AnyAnomaly,1,author_verification_required,author_verification_required,author_verification_required,author_verification_required,author_verification_required,consensus,Insert L/S/H from the original independent rating files. Do not invent ratings.
dai2026lavida,LAVIDA,1,author_verification_required,author_verification_required,author_verification_required,author_verification_required,author_verification_required,consensus,Insert L/S/H from the original independent rating files. Do not invent ratings.
zhu2026alertclip,Alert-CLIP,1,author_verification_required,author_verification_required,author_verification_required,author_verification_required,author_verification_required,consensus,Insert L/S/H from the original independent rating files. Do not invent ratings.
zou2026askhint,ASK-HINT,1,author_verification_required,author_verification_required,author_verification_required,author_verification_required,author_verification_required,consensus,Insert L/S/H from the original independent rating files. Do not invent ratings.
