result_id,source_table,method,citation_key,year,benchmark,metric,value,verification_status
R28,tab:weak_foundation_performance,RTFM,tian2021weakly,2021,UCF-Crime,frame-level AUC (%),84.3,transcribed_from_manuscript
R29,tab:weak_foundation_performance,RTFM,tian2021weakly,2021,XD-Violence,average precision (%),77.8,transcribed_from_manuscript
R30,tab:weak_foundation_performance,Wu & Liu,wu2021causal,2021,UCF-Crime,frame-level AUC (%),84.9,transcribed_from_manuscript
R31,tab:weak_foundation_performance,Wu & Liu,wu2021causal,2021,XD-Violence,average precision (%),75.9,transcribed_from_manuscript
R32,tab:weak_foundation_performance,MGFN,chen2023mgfn,2023,UCF-Crime,frame-level AUC (%),86.7,transcribed_from_manuscript
R33,tab:weak_foundation_performance,MGFN,chen2023mgfn,2023,XD-Violence,average precision (%),80.1,transcribed_from_manuscript
R34,tab:weak_foundation_performance,UR-DMU (RGB),zhou2023dmu,2023,UCF-Crime,frame-level AUC (%),87.0,transcribed_from_manuscript
R35,tab:weak_foundation_performance,UR-DMU (RGB),zhou2023dmu,2023,XD-Violence,average precision (%),81.7,transcribed_from_manuscript
R36,tab:weak_foundation_performance,UR-DMU (RGB+audio),zhou2023dmu,2023,XD-Violence,average precision (%),81.8,transcribed_from_manuscript
R37,tab:weak_foundation_performance,SGTTD,wu2022self,2024,ShanghaiTech,frame-level AUC (%),97.3,transcribed_from_manuscript
R38,tab:weak_foundation_performance,SGTTD,wu2022self,2024,UCF-Crime,frame-level AUC (%),85.1,transcribed_from_manuscript
R39,tab:weak_foundation_performance,VadCLIP,wu2024vadclip,2024,UCF-Crime,frame-level AUC (%),88.0,transcribed_from_manuscript
R40,tab:weak_foundation_performance,VadCLIP,wu2024vadclip,2024,XD-Violence,average precision (%),84.5,transcribed_from_manuscript
R41,tab:weak_foundation_performance,PEL4VAD,zhang2024pel4vad,2024,ShanghaiTech,frame-level AUC (%),98.1,transcribed_from_manuscript
R42,tab:weak_foundation_performance,PEL4VAD,zhang2024pel4vad,2024,UCF-Crime,frame-level AUC (%),86.8,transcribed_from_manuscript
R43,tab:weak_foundation_performance,PEL4VAD,zhang2024pel4vad,2024,XD-Violence,average precision (%),85.6,transcribed_from_manuscript
